FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,6,TRUE
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,7,TRUE
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,6,TRUE
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,7,TRUE
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,8,TRUE
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,9,TRUE
