FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,6,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,7,True
10036,Ina & Lacholla,BAU,,4C,Teller Fixture (base),Teller,Small Teller,8,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,6,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,7,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,8,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,9,True
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,10,True
11026,Park Road,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,4,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,5,False
11094,National City,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,6,False
13666,Middletown,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
13666,Middletown,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
13666,Middletown,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
13666,Middletown,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,4,False
16307,Glenview,Flagship,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
16736,Lake Air,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
16736,Lake Air,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,True
16736,Lake Air,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,True
16736,Lake Air,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,True
9882,Westpark,Flagship,,2X2MF-A,Modular 2x2 (A),Office,Investment,1,False
9882,Westpark,Flagship,,1X2MF-A,Modular 1x2 (A),Office,Small Business,1,False
